metabolite_id,subsystem,leverage_topology,leverage_proteomics,delta_leverage,abs_delta_leverage
MAM00433c,Estrogen metabolism,2.2880498266726573e-06,2.9570128953066874e-06,6.689630686340301e-07,6.689630686340301e-07
MAM04054c,Peptide metabolism;Transport reactions,9.451539748586114e-06,1.0119170597923813e-05,6.676308493376991e-07,6.676308493376991e-07
MAM02409c,Carnitine shuttle (cytosolic);Carnitine shuttle (mitochondrial);Carnitine shuttle (peroxisomal),1.1322027804012673e-06,4.6475811378100464e-07,-6.674446666202627e-07,6.674446666202627e-07
MAM03331c,Cholesterol metabolism,5.973606636969976e-06,6.640888715843293e-06,6.672820788733172e-07,6.672820788733172e-07
MAM01496l,Formation and hydrolysis of cholesterol esters;Pool reactions,7.1364198221537484e-06,7.80309476771629e-06,6.666749455625408e-07,6.666749455625408e-07
MAM00906m,Beta oxidation of even-chain fatty acids (mitochondrial),0.0010714285000239124,0.0010707620325839788,-6.664674399336264e-07,6.664674399336264e-07
MAM01100c,Folate metabolism;Transport reactions,5.554570781696041e-06,6.220207438266808e-06,6.656366565707672e-07,6.656366565707672e-07
MAM02819c,"Alanine, aspartate and glutamate metabolism;Amino sugar and nucleotide sugar metabolism;Artificial reactions",1.3041022879865908e-06,1.9682901901914778e-06,6.64187902204887e-07,6.64187902204887e-07
MAM00987c,Artificial reactions;Estrogen metabolism,2.3620856296759574e-06,1.6979816495872695e-06,-6.641039800886879e-07,6.641039800886879e-07
MAM02885c,Metabolism of other amino acids;Transport reactions,1.4231356156757384e-06,7.59061965574672e-07,-6.640736501010664e-07,6.640736501010664e-07
MAM00453c,Glycerolipid metabolism;Pool reactions,9.088254515316119e-06,8.424542494556377e-06,-6.63712020759742e-07,6.63712020759742e-07
MAM02947c,Transport reactions,0.00014944692635588484,0.00015011062252178579,6.636961659009445e-07,6.636961659009445e-07
MAM00412x,Estrogen metabolism;Transport reactions,4.61868031238604e-06,3.955957652646879e-06,-6.627226597391605e-07,6.627226597391605e-07
MAM01727r,Carnitine shuttle (endoplasmic reticular),5.546185025908527e-06,4.885065509007982e-06,-6.611195169005455e-07,6.611195169005455e-07
MAM00546c,Xenobiotics metabolism,1.2239777449165904e-06,1.8845729555057053e-06,6.605952105891149e-07,6.605952105891149e-07
MAM03925e,Exchange/demand reactions;Transport reactions,4.5392708118781017e-07,1.114033324564053e-06,6.601062433762429e-07,6.601062433762429e-07
MAM10007g,Sphingolipid metabolism,0.00101936744536753,0.0010187087113677725,-6.587339997574104e-07,6.587339997574104e-07
MAM00429m,Steroid metabolism,9.186620358461391e-06,9.844987190568421e-06,6.583668321070297e-07,6.583668321070297e-07
MAM03572r,Drug metabolism,1.761766493700974e-06,2.4200113966908405e-06,6.582449029898664e-07,6.582449029898664e-07
MAM00412r,Estrogen metabolism;Transport reactions,4.6303085337553246e-06,3.972073313196833e-06,-6.582352205584914e-07,6.582352205584914e-07
MAM01630c,Nucleotide metabolism;Pyrimidine metabolism;Transport reactions,1.0115170314663376e-05,1.077332141880754e-05,6.581511041441637e-07,6.581511041441637e-07
MAM03618c,Peptide metabolism;Transport reactions,2.8850549435751128e-05,2.950686797320014e-05,6.563185374490136e-07,6.563185374490136e-07
MAM03991c,Peptide metabolism;Transport reactions,2.5298261682079218e-05,2.4642902435001068e-05,-6.553592470781504e-07,6.553592470781504e-07
MAM02613l,Formation and hydrolysis of cholesterol esters;Transport reactions,3.952837454085941e-06,4.607954156882596e-06,6.551167027966554e-07,6.551167027966554e-07
MAM02018g,Sphingolipid metabolism;Transport reactions,4.495815592202343e-06,3.841287923970673e-06,-6.545276682316697e-07,6.545276682316697e-07
MAM02019g,Sphingolipid metabolism;Transport reactions,4.495803830507232e-06,3.8412828936367855e-06,-6.545209368704466e-07,6.545209368704466e-07
